Name,Country,QS Global World Ranking,Status,Research Output,Total Students,Academic Faculty Staff,International Students,Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,Number of International Students,Number of International Faculty
Universitat Rovira i Virgili,Spain,#751-800,Public,High,"12,745","1,017", 24.9,,,, 23.9, 30.6,,"1,677",52
Rutgers University–Newark,United States,#751-800,Public,High,"11,032",801, 23.5,,,,,, 32.8,"2,607",119
Institut Teknologi Sepuluh Nopember (ITS),Indonesia,#751-800,Public,Very High,"14,940","1,436",691,,, 18.1, 32.5,, 53.7,691,332
Southern Cross University,Australia,#751-800,Public,Very High,"10,256",463, 73.6,,,,, 27.7, 64.7,"3,034",131
Technical University of Liberec,Czech Republic,#751-800,Public,High,"5,129",566,456,,,, 53.1,, 16.9,456,53
Tokyo University of Science,Japan,#751-800,Private,Very High,"18,268","1,152",460,,, 24.3,, 23.2,,460,79
University of the Basque Country,Spain,#751-800,,,"42,396","3,521","2,106",, 16.7,, 30.7,,,"2,106",56
Ca' Foscari University of Venice,Italy,#751-800,Public,Very High,"17,040",705,"1,214",, 18.2, 20.7,,, 27.6,"1,214",93
University of Modena and Reggio Emilia,Italy,#751-800,Public,High,"20,019",680,"1,066",,,,, 50.5,,"1,066",6
Università degli Studi di Perugia,Italy,#751-800,Public,Very High,"24,359","1,031","1,453",,,,, 45.7,,"1,453",53
Universität Duisburg-Essen,Germany,#751-800,Public,Very High,"42,720","3,393", 47.8,,,,, 20.4, 35.7,"8,083",555
Universiti Malaysia Pahang,Malaysia,#751-800,Public,Very High,"8,715",623,711,,,,,, 43.8,711,113
University at Albany SUNY,United States,#751-800,Public,Very High,"15,946",832,"1,329",,,,, 43.2,,"1,329",48
University of Brescia,Italy,#751-800,Public,Very High,"10,509",523,"1,061",,,,, 51.8,,"1,061",14
University of Patras,Greece,#751-800,Public,High,"25,974",865,"1,126",,, 17.9,, 36.3,,"1,126",6
University of Seoul,South Korea,#751-800,Public,Very High,"8,759",791,498,,,, 33.1,,,498,27
University of Tulsa,United States,#751-800,Private,Very High,"4,052",400, 40.3,,,, 41.2,,,665,14
University of Windsor,Canada,#751-800,Public,High,"13,402",319, 44,,,,, 56.6,,"2,387",0
"Adam Mickiewicz University, Poznań",Poland,#801-1000,Public,Very High,"34,534","2,825","1,107",,,, 25.6,,,"1,107",145
AGH University of Science and Technology,Poland,#801-1000,Public,Very High,"24,949","2,127",624,,,, 28,,,624,33
Ain Shams University,Egypt,#801-1000,Public,High,"204,935","12,396","5,774",, 16.8, 19.7,,, 18.3,"5,774",1231
Alexandria University,Egypt,#801-1000,Public,High,"196,915","10,071","6,567",, 16.7,,,,,"6,567",145
Aligarh Muslim University,India,#801-1000,Public,Very High,"17,787","1,487",359,,,, 27.1,,,359,0
Amrita Vishwa Vidyapeetham,India,#801-1000,Private,High,"19,224","1,696",273,,,, 31.1,, 41.8,273,291
Ankara Üniversitesi,Turkey,#801-1000,Public,High,"56,604","4,209","2,825",,,,,,,"2,825",70
Anna University,India,#801-1000,Public,Very High,"15,305",724,173,,,,, 45.2,,173,0
Athens University of Economics and Business,Greece,#801-1000,Public,Very High,"9,343",236,399,,, 32.5,, 19.2,,399,2
Auburn University,United States,#801-1000,Public,Very High,"27,041","1,480","2,307",,,,, 21.5,,"2,307",85
Australian Catholic University,Australia,#801-1000,Public,High,"24,087","1,118", 49,,,,,, 60,"4,664",269
Babes-Bolyai University,Romania,#801-1000,Public,High,"38,047","1,513","1,813",,,,,,,"1,813",208
Banaras Hindu University,India,#801-1000,Public,High,"24,246","1,641",402,,,,,,,402,10
Bangladesh University of Engineering and Technology,Bangladesh,#801-1000,Public,Very High,"5,957",463,11,,, 22.2,,,,11,0
Baylor University,United States,#801-1000,Private,Very High,"16,686","1,226",685,,,,,,,685,32
Beijing Foreign Studies University,China Mainland,#801-1000,Public,Very High,"10,190",923, 32.5,,,, 30.2,, 33.6,"1,559",110
Beirut Arab University,Lebanon,#801-1000,Private,Medium,"7,255",552, 39.8,,,,,, 71.8,"1,242",145.6
Belarusian National Technical University (BNTU),Belarus,#801-1000,Public,Low,"24,136","2,143","1,584",,, 26.2, 31.7,,,"1,584",46
